"","OBJECTID","noxn"
"1","ARG00012",0.2708
"2","CAN00031",0.319
"3","CAN00037",0.353
"4","CAN00038",1.43
"5","CAN00039",0.319
"6","CAN00040",0.36
"7","CAN00041",0.248
"8","CAN00042",0.151
"9","CAN00043",0.41
"10","CAN00071",0.21
"11","IND00002",0.398416666666667
"12","IND00004",0.1298
"13","IND00005",0.9008
"14","IND00007",0.155
"15","IND00009",0.423636363636364
"16","IND00010",0.402727272727273
"17","IND00011",0.789333333333333
"18","IND00012",1.17841666666667
"19","IND00013",0.816666666666667
"20","IND00014",0.646666666666667
"21","IND00017",0.6625
"22","IND00018",0.514166666666667
"23","IND00020",1.11483333333333
"24","IND00021",0.537833333333333
"25","IND00025",0.945
"26","IND00028",1.412
"27","IND00029",0.27
"28","IND00030",0.798888888888889
"29","IND00031",0.1842
"30","IND00033",0.188
"31","IND00034",0.352666666666667
"32","IND00036",1.34733333333333
"33","IND00037",1.41333333333333
"34","IND00038",0.433333333333333
"35","IND00039",1.41
"36","IND00041",0.171777777777778
"37","IND00042",0.7525
"38","IND00043",0.440909090909091
"39","IND00044",0.189090909090909
"40","IND00045",0.394181818181818
"41","IND00049",6.8
"42","IND00050",0.16275
"43","IND00051",0.1749
"44","JPN00001",1
"45","JPN00003",2.10833333333333
"46","JPN00007",1.6275
"47","JPN00010",0.39
"48","JPN00011",0.431666666666667
"49","JPN00013",1.20916666666667
"50","JPN00014",0.5925
"51","JPN00015",0.738333333333333
"52","JPN00016",0.0216
"53","JPN00017",0.703333333333333
"54","JPN00018",0.666666666666667
"55","JPN00019",0.109166666666667
"56","JPN00020",0.131666666666667
"57","JPN00021",0.725833333333333
"58","JPN00022",0.301666666666667
"59","JPN00023",0.766666666666667
"60","JPN00024",0.513416666666667
"61","JPN00025",0.219
"62","JPN00026",0.12525
"63","JPN00027",0.0951666666666667
"64","JPN00028",1.20583333333333
"65","KHM00001",0.170333333333333
"66","KHM00002",0.173083333333333
"67","KHM00003",0.191083333333333
"68","KHM00004",0.24225
"69","KHM00006",0.147583333333333
"70","KHM00011",0.241333333333333
"71","LAO00001",0.0908333333333333
"72","LAO00002",0.261333333333333
"73","LAO00003",0.13
"74","MAR00001",0.57
"75","MAR00006",1.65090909090909
"76","MAR00008",0.436363636363636
"77","NZL00005",0.0230833333333333
"78","NZL00006",0.234341666666667
"79","NZL00007",0.10395
"80","NZL00008",0.438616666666667
"81","NZL00009",0.3134
"82","NZL00010",0.199883333333333
"83","NZL00011",0.273075
"84","NZL00012",0.759175
"85","NZL00013",0.152433333333333
"86","NZL00014",0.342466666666667
"87","NZL00015",1.05048333333333
"88","NZL00016",0.453541666666667
"89","NZL00017",0.00208333333333333
"90","NZL00018",0.316383333333333
"91","NZL00019",0.450433333333333
"92","NZL00020",0.103316666666667
"93","NZL00021",0.262683333333333
"94","NZL00022",0.00133333333333333
"95","NZL00023",0.221008333333333
"96","NZL00024",0.0329416666666667
"97","NZL00025",0.27615
"98","NZL00026",0.108108333333333
"99","NZL00027",2.158
"100","NZL00028",0.205925
"101","NZL00029",0.07275
"102","NZL00030",0.0953916666666667
"103","NZL00031",0.5607
"104","NZL00032",0.749575
"105","NZL00033",0.742183333333333
"106","NZL00034",0.0780166666666667
"107","NZL00035",0.181275
"108","NZL00036",0.1402
"109","NZL00037",0.0529818181818182
"110","NZL00038",0.0843545454545455
"111","NZL00039",0.625327272727273
"112","NZL00040",0.0737818181818182
"113","NZL00041",0.00781818181818182
"114","NZL00042",0.115663636363636
"115","NZL00043",0.137927272727273
"116","NZL00044",0.254141666666667
"117","NZL00045",0.0403666666666667
"118","NZL00046",0.551741666666667
"119","NZL00047",0.701291666666667
"120","NZL00048",0.0616
"121","NZL00049",0.146181818181818
"122","NZL00050",0.0221090909090909
"123","NZL00051",0.0150818181818182
"124","NZL00052",0.0712
"125","NZL00053",0.0273909090909091
"126","NZL00054",0.0466272727272727
"127","NZL00055",0.0867727272727273
"128","NZL00056",0.0283181818181818
"129","NZL00057",0.0277166666666667
"130","NZL00058",0.0175416666666667
"131","NZL00059",0.324175
"132","NZL00060",0.0701916666666667
"133","NZL00061",0.0964416666666667
"134","NZL00062",0.506058333333333
"135","NZL00063",0.782091666666667
"136","NZL00064",0.339091666666667
"137","NZL00065",0.0144166666666667
"138","NZL00066",0.0304583333333333
"139","NZL00067",0.0465416666666667
"140","NZL00068",0.041525
"141","NZL00069",0.0273416666666667
"142","NZL00070",0.028875
"143","NZL00071",0.046525
"144","NZL00072",0.0325818181818182
"145","NZL00073",0.0391090909090909
"146","NZL00074",0.0794363636363636
"147","NZL00075",0.0913636363636364
"148","NZL00076",0.871581818181818
"149","NZL00077",0.2705
"150","NZL00078",0.506381818181818
"151","NZL00079",0.916872727272727
"152","NZL00080",0.190209090909091
"153","NZL00081",0.00636363636363636
"154","PAK00002",1
"155","PAK00003",1.648
"156","PAK00004",1.19
"157","PAK00005",0.616
"158","PAK00006",3.85
"159","POL00001",2.113
"160","POL00002",1.5162
"161","POL00003",1.37025
"162","POL00004",3.79625
"163","POL00005",2.94773076923077
"164","POL00006",1.93528
"165","THA00008",0.285833333333333
"166","THA00009",0.40725
"167","THA00010",0.26525
"168","TUR00005",0.0586923076923077
"169","TUR00006",0.100947368421053
"170","TUR00007",0.642125
"171","TUR00008",0.0957
"172","TUR00009",0.391538461538462
"173","TUR00010",1.15076923076923
"174","TUR00011",1.11784615384615
"175","TUR00012",0.360235294117647
"176","TUR00013",0.2278
"177","TUR00014",0.1297
"178","VNM00002",0.349583333333333
"179","VNM00003",0.310083333333333
"180","VNM00004",0.30225
"181","VNM00005",0.348083333333333
"182","ZAF00001",0.1409
"183","ZAF00002",0.463666666666667
"184","ZAF00003",0.1239
"185","ZAF00004",0.82765306122449
"186","ZAF00005",4.53740384615385
"187","ZAF00006",0.31475
"188","ZAF00007",0.8745
"189","ZAF00008",0.477833333333333
"190","ZAF00009",0.573870967741935
"191","ZAF00010",0.172333333333333
"192","ZAF00012",0.303230769230769
"193","ZAF00013",0.558653846153846
"194","ZAF00014",0.20375
"195","ZAF00015",1.57261363636364
"196","ZAF00016",0.0723548387096774
"197","ARG00001",0.282090909090909
"198","ARG00012",0.278636363636364
"199","CAN00010",0.414
"200","CAN00031",0.357
"201","CAN00032",0.344
"202","CAN00033",0.252
"203","CAN00034",0.352
"204","CAN00035",0.364
"205","CAN00044",0.433
"206","CAN00045",0.297
"207","CAN00046",0.419
"208","CAN00047",0.401
"209","CAN00048",0.439
"210","IND00001",1.496
"211","IND00002",1.2226
"212","IND00004",0.4825
"213","IND00005",0.402
"214","IND00007",0.304
"215","IND00009",0.412857142857143
"216","IND00010",1.36
"217","IND00011",0.785
"218","IND00012",0.803
"219","IND00013",0.12
"220","IND00014",3.17833333333333
"221","IND00017",1.01808333333333
"222","IND00018",0.816
"223","IND00020",0.271818181818182
"224","IND00021",0.290916666666667
"225","IND00025",0.13
"226","IND00028",0.850666666666667
"227","IND00029",0.487777777777778
"228","IND00030",0.6675
"229","IND00031",0.1464
"230","IND00033",0.188888888888889
"231","IND00034",0.181666666666667
"232","IND00036",0.488272727272727
"233","IND00037",1.15475
"234","IND00038",0.804153846153846
"235","IND00039",0.625
"236","IND00041",0.200909090909091
"237","IND00042",0.5714
"238","IND00043",0.577666666666667
"239","IND00044",0.43
"240","IND00045",0.393333333333333
"241","IND00050",0.0554
"242","IND00051",0.261
"243","IND00053",6.5
"244","IND00054",6.7
"245","IND00055",0.41
"246","IND00056",0.4
"247","IND00057",2.11025
"248","IND00058",1.68116666666667
"249","IND00059",1.43825
"250","IND00060",1.596
"251","IND00061",2.20683333333333
"252","IND00062",1.40283333333333
"253","IND00063",0.0494444444444444
"254","IND00064",0.0584444444444444
"255","IND00067",0.795
"256","IND00068",0.0674166666666667
"257","IND00069",0.554166666666667
"258","IND00070",0.5635
"259","IND00071",0.235
"260","IND00072",0.189428571428571
"261","JPN00001",1
"262","JPN00003",2.195
"263","JPN00007",1.54083333333333
"264","JPN00010",0.436666666666667
"265","JPN00011",0.4575
"266","JPN00013",1.01083333333333
"267","JPN00014",0.4875
"268","JPN00015",0.735833333333333
"269","JPN00016",0.05
"270","JPN00017",0.711666666666667
"271","JPN00018",0.77
"272","JPN00019",0.106666666666667
"273","JPN00020",0.1075
"274","JPN00021",0.735833333333333
"275","JPN00022",0.1775
"276","JPN00023",0.763333333333333
"277","JPN00024",0.493333333333333
"278","JPN00025",0.41475
"279","JPN00026",0.0660833333333333
"280","JPN00027",0.0646666666666667
"281","JPN00028",1.20666666666667
"282","KHM00001",0.171833333333333
"283","KHM00002",0.1725
"284","KHM00003",0.192
"285","KHM00004",0.22525
"286","KHM00006",0.152666666666667
"287","KHM00011",0.255916666666667
"288","LAO00001",0.16525
"289","LAO00002",0.256916666666667
"290","LAO00003",0.17275
"291","LAO00020",0.203416666666667
"292","MAR00001",1.21
"293","MAR00006",0.879
"294","MAR00008",0.710909090909091
"295","NZL00005",0.0356583333333333
"296","NZL00006",0.347683333333333
"297","NZL00007",0.1878
"298","NZL00008",0.566525
"299","NZL00009",0.440308333333333
"300","NZL00010",0.304625
"301","NZL00011",0.258175
"302","NZL00012",0.787433333333333
"303","NZL00013",0.173166666666667
"304","NZL00014",0.331525
"305","NZL00015",0.971166666666667
"306","NZL00016",0.481366666666667
"307","NZL00017",0.00123333333333333
"308","NZL00018",0.338466666666667
"309","NZL00019",0.434566666666667
"310","NZL00020",0.138616666666667
"311","NZL00021",0.273175
"312","NZL00022",0.000958333333333333
"313","NZL00023",0.237783333333333
"314","NZL00024",0.0319666666666667
"315","NZL00025",0.347533333333333
"316","NZL00026",0.128616666666667
"317","NZL00027",1.95594166666667
"318","NZL00028",0.200833333333333
"319","NZL00029",0.127625
"320","NZL00030",0.155725
"321","NZL00031",0.521558333333333
"322","NZL00032",0.698333333333333
"323","NZL00033",0.754233333333333
"324","NZL00034",0.192775
"325","NZL00035",0.275025
"326","NZL00036",0.197633333333333
"327","NZL00037",0.0524666666666667
"328","NZL00038",0.0687166666666667
"329","NZL00039",0.419058333333333
"330","NZL00040",0.063675
"331","NZL00041",0.00489166666666667
"332","NZL00042",0.0946833333333333
"333","NZL00043",0.14275
"334","NZL00044",0.275
"335","NZL00045",0.047075
"336","NZL00046",0.389266666666667
"337","NZL00047",0.527416666666667
"338","NZL00048",0.0405833333333333
"339","NZL00049",0.172991666666667
"340","NZL00050",0.0483583333333333
"341","NZL00051",0.0102666666666667
"342","NZL00052",0.115383333333333
"343","NZL00053",0.0260166666666667
"344","NZL00054",0.06015
"345","NZL00055",0.123075
"346","NZL00056",0.0367583333333333
"347","NZL00057",0.0344333333333333
"348","NZL00058",0.0209583333333333
"349","NZL00059",0.3778
"350","NZL00060",0.05885
"351","NZL00061",0.088075
"352","NZL00062",0.449983333333333
"353","NZL00063",0.51545
"354","NZL00064",0.386308333333333
"355","NZL00065",0.00956666666666667
"356","NZL00066",0.019475
"357","NZL00067",0.0457833333333333
"358","NZL00068",0.0410833333333333
"359","NZL00069",0.024475
"360","NZL00070",0.0240333333333333
"361","NZL00071",0.0419916666666667
"362","NZL00072",0.023
"363","NZL00073",0.0128333333333333
"364","NZL00074",0.0409083333333333
"365","NZL00075",0.0968833333333333
"366","NZL00076",1.17215
"367","NZL00077",0.240683333333333
"368","NZL00078",0.458441666666667
"369","NZL00079",1.07185833333333
"370","NZL00080",0.21345
"371","NZL00081",0.00725
"372","PAK00003",1.86
"373","PAK00004",1.5
"374","PAK00005",1.62
"375","PAK00006",2.78
"376","POL00001",2.15920833333333
"377","POL00002",1.6072
"378","POL00003",1.6515
"379","POL00004",3.36791666666667
"380","POL00005",3.14284615384615
"381","POL00006",2.17592592592593
"382","THA00008",0.303916666666667
"383","THA00009",0.354
"384","THA00010",0.2655
"385","TUR00005",0.147894736842105
"386","TUR00006",0.277619047619048
"387","TUR00007",1.86188888888889
"388","TUR00008",0.428
"389","TUR00009",0.1405
"390","TUR00010",2.2773
"391","TUR00011",2.24945454545455
"392","TUR00012",0.61725
"393","TUR00014",0.226666666666667
"394","VNM00001",0.421916666666667
"395","VNM00002",0.315818181818182
"396","VNM00003",0.263583333333333
"397","VNM00004",0.406333333333333
"398","VNM00005",0.237583333333333
"399","ZAF00001",0.0696444444444444
"400","ZAF00002",0.431528301886792
"401","ZAF00003",0.0774545454545455
"402","ZAF00004",0.621520833333333
"403","ZAF00005",4.59578
"404","ZAF00006",0.131111111111111
"405","ZAF00007",0.289444444444444
"406","ZAF00008",0.312416666666667
"407","ZAF00009",0.523269230769231
"408","ZAF00010",0.293214285714286
"409","ZAF00012",0.207090909090909
"410","ZAF00013",0.327259259259259
"411","ZAF00014",0.3438
"412","ZAF00015",0.9407
"413","ZAF00016",0.171375
"414","ARG00001",0.285555555555556
"415","ARG00012",0.320222222222222
"416","CAN00031",0.334
"417","CAN00037",0.448
"418","CAN00038",1.19
"419","CAN00039",0.34
"420","CAN00040",0.373
"421","CAN00041",0.274
"422","CAN00042",0.263
"423","CAN00043",0.493
"424","IND00001",0.439
"425","IND00002",0.913666666666667
"426","IND00004",0.528375
"427","IND00005",0.435375
"428","IND00007",0.743777777777778
"429","IND00009",0.6
"430","IND00010",0.86
"431","IND00011",0.886777777777778
"432","IND00012",1.343
"433","IND00013",0.45
"434","IND00014",1.87
"435","IND00017",0.372857142857143
"436","IND00018",0.192857142857143
"437","IND00020",0.125166666666667
"438","IND00021",0.159571428571429
"439","IND00025",0.143333333333333
"440","IND00028",0.932777777777778
"441","IND00030",0.52
"442","IND00031",0.3235
"443","IND00036",0.897222222222222
"444","IND00037",0.905555555555556
"445","IND00039",0.55
"446","IND00042",0.192142857142857
"447","IND00043",0.335571428571429
"448","IND00044",0.246666666666667
"449","IND00045",0.660545454545455
"450","IND00046",0.386666666666667
"451","IND00047",0.282222222222222
"452","IND00050",0.236545454545455
"453","IND00051",0.497090909090909
"454","IND00053",1.7
"455","IND00054",2.18166666666667
"456","IND00055",0.501
"457","IND00056",2.91828571428571
"458","IND00062",1.83189166666667
"459","IND00063",0.301166666666667
"460","IND00064",0.47
"461","IND00065",0.542
"462","IND00066",0.339
"463","IND00067",2.384
"464","IND00068",0.81225
"465","IND00069",0.608918181818182
"466","IND00070",0.5528
"467","IND00071",0.176
"468","IND00072",0.45055
"469","JPN00001",1
"470","JPN00003",2.06916666666667
"471","JPN00007",1.64083333333333
"472","JPN00010",0.425
"473","JPN00011",0.485
"474","JPN00013",1.16916666666667
"475","JPN00014",0.435833333333333
"476","JPN00015",0.681666666666667
"477","JPN00016",0.019
"478","JPN00017",0.639166666666667
"479","JPN00019",0.0991666666666667
"480","JPN00020",0.08
"481","JPN00021",0.683333333333333
"482","JPN00022",0.208333333333333
"483","JPN00023",0.716666666666667
"484","JPN00025",0.388916666666667
"485","JPN00026",0.19575
"486","JPN00027",0.157
"487","JPN00028",1.23416666666667
"488","KHM00001",0.151833333333333
"489","KHM00002",0.186083333333333
"490","KHM00003",0.151916666666667
"491","KHM00004",0.126666666666667
"492","KHM00006",0.164583333333333
"493","KHM00011",0.16475
"494","LAO00001",0.1685
"495","LAO00002",0.223833333333333
"496","LAO00003",0.212333333333333
"497","LAO00020",0.157583333333333
"498","MAR00001",1.06333333333333
"499","MAR00006",0.929090909090909
"500","MAR00008",0.527272727272727
"501","NZL00005",0.02815
"502","NZL00006",0.30285
"503","NZL00007",0.119208333333333
"504","NZL00008",0.470041666666667
"505","NZL00009",0.329658333333333
"506","NZL00010",0.233233333333333
"507","NZL00011",0.24185
"508","NZL00012",0.722891666666667
"509","NZL00013",0.149575
"510","NZL00014",0.264358333333333
"511","NZL00015",1.11328333333333
"512","NZL00016",0.293058333333333
"513","NZL00017",0.001225
"514","NZL00018",0.375366666666667
"515","NZL00019",0.578725
"516","NZL00020",0.119183333333333
"517","NZL00021",0.344741666666667
"518","NZL00022",0.000933333333333333
"519","NZL00023",0.224683333333333
"520","NZL00024",0.0326833333333333
"521","NZL00025",0.337925
"522","NZL00026",0.108583333333333
"523","NZL00027",2.19108333333333
"524","NZL00028",0.195275
"525","NZL00029",0.131541666666667
"526","NZL00030",0.157791666666667
"527","NZL00031",0.58385
"528","NZL00032",0.678383333333333
"529","NZL00033",0.726558333333333
"530","NZL00034",0.111966666666667
"531","NZL00035",0.182016666666667
"532","NZL00036",0.101783333333333
"533","NZL00037",0.0539166666666667
"534","NZL00038",0.0598916666666667
"535","NZL00039",0.687916666666667
"536","NZL00040",0.0705444444444444
"537","NZL00041",0.00664166666666667
"538","NZL00042",0.0974833333333333
"539","NZL00043",0.170333333333333
"540","NZL00044",0.260491666666667
"541","NZL00045",0.0433083333333333
"542","NZL00046",0.469141666666667
"543","NZL00047",0.596083333333333
"544","NZL00048",0.0435916666666667
"545","NZL00049",0.136966666666667
"546","NZL00050",0.019375
"547","NZL00051",0.0127833333333333
"548","NZL00052",0.0840166666666667
"549","NZL00053",0.03725
"550","NZL00054",0.0578083333333333
"551","NZL00055",0.116016666666667
"552","NZL00056",0.034
"553","NZL00057",0.0368833333333333
"554","NZL00058",0.019375
"555","NZL00059",0.308258333333333
"556","NZL00060",0.0794
"557","NZL00061",0.113475
"558","NZL00062",0.507491666666667
"559","NZL00063",0.95695
"560","NZL00064",0.372741666666667
"561","NZL00065",0.012325
"562","NZL00066",0.0160583333333333
"563","NZL00067",0.0678416666666667
"564","NZL00068",0.0413166666666667
"565","NZL00069",0.0248833333333333
"566","NZL00070",0.024
"567","NZL00071",0.0384
"568","NZL00072",0.022375
"569","NZL00073",0.0332666666666667
"570","NZL00074",0.04715
"571","NZL00075",0.103466666666667
"572","NZL00076",0.893133333333333
"573","NZL00077",0.193316666666667
"574","NZL00078",0.429258333333333
"575","NZL00079",1.097175
"576","NZL00080",0.192133333333333
"577","NZL00081",0.00904166666666667
"578","PAK00003",2.41666666666667
"579","PAK00004",3.16666666666667
"580","PAK00005",2.75
"581","PAK00006",3.32
"582","POL00001",2.07375
"583","POL00002",1.38852
"584","POL00003",1.60545833333333
"585","POL00004",2.96583333333333
"586","POL00005",2.90057692307692
"587","POL00006",1.6714
"588","THA00008",0.3886
"589","THA00009",0.408
"590","THA00010",0.2703
"591","TUR00005",0.0951818181818182
"592","TUR00006",0.176153846153846
"593","TUR00007",1.24181818181818
"594","TUR00008",0.06
"595","TUR00009",0.0713636363636364
"596","TUR00010",1.82972727272727
"597","TUR00011",0.578181818181818
"598","TUR00012",0.512
"599","TUR00013",0.727
"600","VNM00001",0.169
"601","VNM00002",0.227666666666667
"602","VNM00003",0.258666666666667
"603","VNM00004",0.254083333333333
"604","VNM00005",0.263
"605","ZAF00001",0.137794117647059
"606","ZAF00002",0.314945945945946
"607","ZAF00003",0.0411818181818182
"608","ZAF00004",0.62858
"609","ZAF00005",4.48817647058824
"610","ZAF00006",0.1058
"611","ZAF00007",0.0535454545454545
"612","ZAF00008",0.645045454545455
"613","ZAF00009",0.3439
"614","ZAF00010",0.171727272727273
"615","ZAF00012",0.311133333333333
"616","ZAF00013",0.635961538461538
"617","ZAF00014",0.138428571428571
"618","ZAF00015",1.16663636363636
"619","ARG00001",0.239166666666667
"620","ARG00012",0.394833333333333
"621","CAN00010",0.43
"622","CAN00031",0.376
"623","CAN00032",0.36
"624","CAN00033",0.362
"625","CAN00034",0.37
"626","CAN00035",0.373
"627","CAN00044",0.433
"628","CAN00045",0.311
"629","CAN00046",0.418
"630","CAN00048",0.415
"631","IND00001",0.985
"632","IND00002",0.652454545454545
"633","IND00004",0.208181818181818
"634","IND00005",0.224545454545455
"635","IND00007",0.141
"636","IND00010",0.1
"637","IND00011",0.6706
"638","IND00028",1.6662
"639","IND00031",0.105
"640","IND00036",0.3882
"641","IND00037",0.7225
"642","IND00044",0.11
"643","IND00045",0.24
"644","IND00046",0.2314
"645","IND00047",0.244454545454545
"646","IND00050",0.34
"647","IND00051",0.313666666666667
"648","IND00055",0.1525
"649","IND00056",1.62
"650","IND00062",2.79933333333333
"651","IND00063",0.318571428571429
"652","IND00064",0.27
"653","IND00065",0.4
"654","IND00066",0.22
"655","IND00067",0.7025
"656","IND00068",0.32725
"657","IND00070",2.9845
"658","IND00071",0.306
"659","IND00072",0.469625
"660","JPN00001",1
"661","JPN00003",2.22083333333333
